sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0041,0,10076,0.000000,0.000001,0.000000,0.893093,-0.753441,0.000002,0.551744,0.520922,-0.000000,0.000000,0.000000,0.000000,3.399605,0.000000,0.000000,0.000000,0.000000,0.000000,-1.611256,0.000000,-0.877958,-0.823175,0.000000,-1.282509,-0.636953,-1.212437,0.000000,-0.471053,0.000000,0.000000,-5.752983,-2.019130,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166455,0.000000,0.000000,0.102834,0.097090,0.000000,0.000000,0.000000,0.000000,0.633620,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,1,12697,0.000000,0.979218,0.925961,0.893093,0.000000,0.686668,0.551744,0.520920,-0.000000,0.000000,0.000000,0.000000,5.666008,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,0.000000,0.000000,0.641254,1.273903,0.606220,0.524126,0.000000,0.000000,0.000000,2.301193,1.009563,-0.764598,0.000000,0.806348,0.000000,0.000000,0.095780,0.090571,0.087356,0.000000,0.067165,0.053968,0.050953,0.000000,0.000000,0.000000,0.000000,0.554208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.116222,0.000000,0.000000,0.000000,0.079123,0.157184,0.074800,0.064671,0.000000,0.000000,0.000000,0.283939,0.124568,0.000000,0.000000,0.099493,0.000000
S0041,2,15291,0.000000,0.000000,0.000000,0.000000,0.000000,-1.373333,0.000000,-0.520920,0.000000,-0.435560,0.000000,0.000000,-3.399605,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.641255,0.000000,-0.606218,0.000001,0.000000,0.000000,0.000000,-2.301193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,3,17841,0.000000,0.000000,0.925961,0.893093,0.000000,0.686668,0.551744,1.041841,0.000000,0.000000,0.000000,0.000000,5.666008,1.034212,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.641255,-0.636951,-0.606218,0.000001,0.000000,0.000000,-0.994140,-4.602386,-1.009565,-0.764598,0.000000,0.000000,0.000000,0.000000,0.000000,0.085741,0.082697,0.000000,0.063583,0.051090,0.096471,0.000000,0.000000,0.000000,0.000000,0.524653,0.095765,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,4,20424,0.837885,0.979218,0.000000,0.893093,0.000000,1.373333,0.551744,0.520922,0.446913,0.000000,0.000000,0.000000,4.532806,1.034212,0.000000,0.000000,0.000000,0.000000,-1.611256,0.000000,-0.877958,-1.646352,-0.736899,-1.923764,-1.910857,-1.818657,-0.524125,-0.471053,0.000000,-0.994140,-9.204773,-2.019130,-0.764598,0.000000,0.000000,0.000000,0.075011,0.087664,0.000000,0.079954,0.000000,0.122947,0.049395,0.046635,0.040010,0.000000,0.000000,0.000000,0.405797,0.092587,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,5,23051,0.000000,0.979218,0.925961,0.893093,0.000000,1.373335,1.103489,0.520921,0.446913,0.000000,0.000000,0.000000,6.799210,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.641255,-1.273907,-0.606218,0.000001,-0.471053,0.000000,-0.994140,-5.752983,-1.009566,-0.764598,0.000000,0.000000,0.000000,0.000000,0.075081,0.070998,0.068477,0.000000,0.105300,0.084609,0.039941,0.034267,0.000000,0.000000,0.000000,0.521326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,6,25656,0.000000,0.000000,0.925961,0.893093,0.000000,0.686668,0.551744,0.520921,0.000000,0.000000,0.000000,0.000000,4.532806,0.000000,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.000001,1.273903,0.606222,0.000001,0.000000,0.000000,-0.994140,3.451797,-1.009566,0.000000,0.000000,0.806348,0.000000,0.000000,0.000000,0.114158,0.110106,0.000000,0.084657,0.068023,0.064222,0.000000,0.000000,0.000000,0.000000,0.558833,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133036,0.000000,0.000000,0.000000,0.000000,0.179925,0.085622,0.000000,0.000000,0.000000,0.000000,0.487529,0.000000,0.000000,0.000000,0.113888,0.000000
S0041,7,28256,0.000000,0.000000,0.000000,0.893093,0.000000,0.000000,0.551744,-0.000001,-0.446914,0.000000,0.000000,0.000000,2.266403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.941923,-0.877958,-0.823175,0.000000,-0.641254,-0.636955,-0.606220,0.000000,-0.471053,0.000000,0.000000,-3.451790,-1.009566,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.240645,0.000000,0.000000,0.148668,0.000000,0.000000,0.000000,0.000000,0.000000,0.610686,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,8,30794,0.837885,1.958433,0.000000,1.786186,0.000000,2.746666,1.103489,1.041841,0.446913,0.435560,0.000000,0.000000,12.465210,1.034212,0.000000,0.000000,0.000000,0.000000,-0.805626,0.000000,0.000000,-0.823176,-0.736899,-0.641255,-0.636953,-1.212437,0.000000,-0.471053,0.000000,-0.994140,-5.752975,0.000000,-0.764598,0.000000,0.000000,0.000000,0.035122,0.082093,0.000000,0.074872,0.000000,0.115133,0.046255,0.043671,0.018733,0.018258,0.000000,0.000000,0.522510,0.043352,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0041,9,33411,0.000000,0.979217,0.000000,0.893093,-0.753441,0.686668,0.551744,0.520922,-0.000000,0.000000,0.000000,0.000000,5.666000,1.034212,0.000000,0.000000,0.000000,0.000000,-0.805626,0.941923,0.000000,-0.823176,-0.736899,-0.000001,0.636951,0.606222,0.524125,-0.471053,0.000000,-0.994140,1.150604,-1.009566,-0.764598,0.000000,0.806348,0.000000,0.000000,0.094776,0.000000,0.086441,0.000000,0.066461,0.053402,0.050419,0.000000,0.000000,0.000000,0.000000,0.548401,0.100099,0.000000,0.000000,0.000000,0.000000,0.000000,0.201862,0.000000,0.000000,0.000000,0.000000,0.136504,0.129918,0.112324,0.000000,0.000000,0.000000,0.246584,0.000000,0.000000,0.000000,0.172807,0.000000
