sample_id,label_object,label_material,triad_file,sand_type,lysforhold,avstand_cm,position_id,angle_id,run_id,diameter_mm,size_group,surface_condition,buried_levelS0100
S0001,stål_kule,steel,raw/S0001_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R01,4.5,,synlig,0
S0002,stål_kule,steel,raw/S0002_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R02,4.5,,synlig,0
S0003,stål_kule,steel,raw/S0003_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R03,4.5,,synlig,0
S0005,stål_kule,steel,raw/S0005_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R05,4.5,,synlig,0
S0007,stål_kule,steel,raw/S0007_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R07,4.5,,synlig,0
S0008,stål_kule,steel,raw/S0008_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R08,4.5,,synlig,0
S0009,stål_kule,steel,raw/S0009_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R09,4.5,,synlig,0
S0010,stål_kule,steel,raw/S0010_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R10,4.5,,synlig,0
S0011,stål_kule,steel,raw/S0011_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R11,4.5,,synlig,0
S0012,stål_kule,steel,raw/S0012_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R12,4.5,,synlig,0
S0013,stål_kule,steel,raw/S0013_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R13,4.5,,synlig,0
S0014,stål_kule,steel,raw/S0014_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R14,4.5,,synlig,0
S0015,stål_kule,steel,raw/S0015_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R15,4.5,,synlig,0
S0016,stål_kule,steel,raw/S0016_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R16,4.5,,synlig,0
S0017,stål_kule,steel,raw/S0017_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R17,4.5,,synlig,0
S0017,stål_kule,steel,raw/S0017_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R17,4.5,,synlig,0
S0018,stål_kule,steel,raw/S0018_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R18,4.5,,synlig,0
S0019,stål_kule,steel,raw/S0019_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R19,4.5,,synlig,0
S0020,stål_kule,steel,raw/S0020_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R20,4.5,,synlig,0
S0021,stål_kule,steel,raw/S0021_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R21,4.5,,synlig,0
S0022,stål_kule,steel,raw/S0022_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R22,4.5,,synlig,0
S0023,stål_kule,steel,raw/S0023_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R23,4.5,,synlig,0
S0024,stål_kule,steel,raw/S0024_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R24,4.5,,synlig,0
S0026,stål_kule,steel,raw/S0026_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R26,4.5,,synlig,0
S0027,stål_kule,steel,raw/S0027_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R27,11,,synlig,0
S0028,stål_kule,steel,raw/S0028_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R28,11,,synlig,0
S0029,stål_kule,steel,raw/S0029_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R29,11,,synlig,0
S0030,stål_kule,steel,raw/S0030_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R30,11,,synlig,0
S0032,stål_kule,steel,raw/S0032_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R32,11,,synlig,0
S0033,stål_kule,steel,raw/S0033_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R33,11,,synlig,0
S0034,stål_kule,steel,raw/S0034_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R34,11,,synlig,0
S0035,stål_kule,steel,raw/S0035_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R35,11,,synlig,0
S0036,stål_kule,steel,raw/S0036_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R36,11,,synlig,0
S0037,stål_kule,steel,raw/S0037_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R37,11,,synlig,0
S0038,stål_kule,steel,raw/S0038_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R38,11,,synlig,0
S0039,stål_kule,steel,raw/S0039_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R39,11,,synlig,0
