sample_id,label_object,label_material,triad_file,sand_type,lysforhold,avstand_cm,position_id,angle_id,run_id,diameter_mm,size_group,surface_condition,buried_level
S0001,stål_kule,stål,raw/S0001_triad_raw.csv,torr_sand,lampelys,12,P1,A30,R01,4.5,liten,synlig,0
S0002,stål_kule,stål,raw/S0002_triad_raw.csv,torr_sand,lampelys,12,P2,A30,R02,4.5,liten,synlig,0
S0003,stål_kule,stål,raw/S0003_triad_raw.csv,torr_sand,lampelys,12,P3,A30,R03,4.5,liten,synlig,0
S0004,stål_kule,stål,raw/S0004_triad_raw.csv,torr_sand,lampelys,12,P4,A30,R04,4.5,liten,synlig,0
S0005,stål_kule,stål,raw/S0005_triad_raw.csv,torr_sand,lampelys,12,P5,A30,R05,4.5,liten,synlig,0
S0006,stål_kule,stål,raw/S0006_triad_raw.csv,torr_sand,lampelys,12,P6,A30,R06,4.5,liten,synlig,0
S0007,stål_kule,stål,raw/S0007_triad_raw.csv,torr_sand,lampelys,12,P7,A30,R07,4.5,liten,synlig,0
S0008,stål_kule,stål,raw/S0008_triad_raw.csv,torr_sand,lampelys,12,P8,A30,R08,4.5,liten,synlig,0
S0009,stål_kule,stål,raw/S0009_triad_raw.csv,torr_sand,lampelys,12,P9,A30,R09,4.5,liten,synlig,0
S0010,stål_kule,stål,raw/S0010_triad_raw.csv,torr_sand,lampelys,12,P10,A30,R10,4.5,liten,synlig,0
S0011,stål_kule,stål,raw/S0011_triad_raw.csv,torr_sand,lampelys,12,P11,A30,R11,4.5,liten,synlig,0
S0012,stål_kule,stål,raw/S0012_triad_raw.csv,torr_sand,lampelys,12,P12,A30,R12,4.5,liten,synlig,0
S0013,stål_kule,stål,raw/S0013_triad_raw.csv,torr_sand,lampelys,12,P13,A30,R13,4.5,liten,synlig,0
S0014,stål_kule,stål,raw/S0014_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R14,4.5,liten,synlig,0
S0015,stål_kule,stål,raw/S0015_triad_raw.csv,torr_sand,lampelys,8,P2,A30,R15,4.5,liten,synlig,0
S0016,stål_kule,stål,raw/S0016_triad_raw.csv,torr_sand,lampelys,8,P3,A30,R16,4.5,liten,synlig,0
S0017,stål_kule,stål,raw/S0017_triad_raw.csv,torr_sand,lampelys,8,P4,A30,R17,4.5,liten,synlig,0
S0018,stål_kule,stål,raw/S0018_triad_raw.csv,torr_sand,lampelys,8,P5,A30,R18,4.5,liten,synlig,0
S0019,stål_kule,stål,raw/S0019_triad_raw.csv,torr_sand,lampelys,8,P6,A30,R19,4.5,liten,synlig,0
S0020,stål_kule,stål,raw/S0020_triad_raw.csv,torr_sand,lampelys,8,P7,A30,R20,4.5,liten,synlig,0
S0021,stål_kule,stål,raw/S0021_triad_raw.csv,torr_sand,lampelys,8,P8,A30,R21,4.5,liten,synlig,0
S0022,stål_kule,stål,raw/S0022_triad_raw.csv,torr_sand,lampelys,8,P9,A30,R22,4.5,liten,synlig,0
S0023,stål_kule,stål,raw/S0023_triad_raw.csv,torr_sand,lampelys,8,P10,A30,R23,4.5,liten,synlig,0
S0024,stål_kule,stål,raw/S0024_triad_raw.csv,torr_sand,lampelys,8,P11,A30,R24,4.5,liten,synlig,0
S0025,stål_kule,stål,raw/S0025_triad_raw.csv,torr_sand,lampelys,8,P12,A30,R25,4.5,liten,synlig,0
S0026,stål_kule,stål,raw/S0026_triad_raw.csv,torr_sand,lampelys,8,P13,A30,R26,4.5,liten,synlig,0
S0027,aluminium_kule,aluminium,raw/S0027_triad_raw.csv,torr_sand,lampelys,8,P1,A30,R27,11,medium,synlig,0
S0028,aluminium_kule,aluminium,raw/S0028_triad_raw.csv,torr_sand,lampelys,8,P2,A30,R28,11,medium,synlig,0
S0029,aluminium_kule,aluminium,raw/S0029_triad_raw.csv,torr_sand,lampelys,8,P3,A30,R29,11,medium,synlig,0
S0030,aluminium_kule,aluminium,raw/S0030_triad_raw.csv,torr_sand,lampelys,8,P4,A30,R30,11,medium,synlig,0
S0032,aluminium_kule,aluminium,raw/S0032_triad_raw.csv,torr_sand,lampelys,8,P5,A30,R32,11,medium,synlig,0
S0033,aluminium_kule,aluminium,raw/S0033_triad_raw.csv,torr_sand,lampelys,8,P6,A30,R33,11,medium,synlig,0
S0034,aluminium_kule,aluminium,raw/S0034_triad_raw.csv,torr_sand,lampelys,8,P7,A30,R34,11,medium,synlig,0
S0035,aluminium_kule,aluminium,raw/S0035_triad_raw.csv,torr_sand,lampelys,8,P8,A30,R35,11,medium,synlig,0
