sample_id,burst_index,timestamp_ms,S0_410,S0_435,S0_460,S0_485,S0_510,S0_535,S0_560,S0_585,S0_610,S0_645,S0_680,S0_705,S0_730,S0_760,S0_810,S0_860,S0_900,S0_940,S1_410,S1_435,S1_460,S1_485,S1_510,S1_535,S1_560,S1_585,S1_610,S1_645,S1_680,S1_705,S1_730,S1_760,S1_810,S1_860,S1_900,S1_940,N0_410,N0_435,N0_460,N0_485,N0_510,N0_535,N0_560,N0_585,N0_610,N0_645,N0_680,N0_705,N0_730,N0_760,N0_810,N0_860,N0_900,N0_940,N1_410,N1_435,N1_460,N1_485,N1_510,N1_535,N1_560,N1_585,N1_610,N1_645,N1_680,N1_705,N1_730,N1_760,N1_810,N1_860,N1_900,N1_940
S0050,0,8721,0.837885,0.979217,0.925961,0.000000,0.000000,2.059999,0.000002,1.041841,0.446913,0.435560,0.000000,0.000000,6.799210,1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-2.301193,1.009564,0.000000,0.000000,-0.806348,0.000000,0.057544,0.067250,0.063593,0.000000,0.000000,0.141476,0.000000,0.071551,0.030693,0.029913,0.000000,0.000000,0.466953,0.071027,0.000000,0.000000,0.000000,0.000000,0.000000,0.380481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211715,0.000000,0.000000,0.000000,0.000000,0.407804,0.000000,0.000000,0.000000,0.000000
S0050,1,11293,0.837885,0.000000,0.000000,0.000000,0.000000,0.686666,-0.551743,0.520921,0.446913,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,0.000000,-0.000002,0.524125,0.000000,0.000000,0.000000,-1.150597,2.019130,0.000000,0.000000,0.000000,0.000000,0.231103,0.000000,0.000000,0.000000,0.000000,0.189395,0.000000,0.143679,0.123266,0.000000,0.000000,0.000000,0.312557,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150387,0.000000,0.000000,0.000000,0.000000,0.579348,0.000000,0.000000,0.000000,0.000000
S0050,2,13859,0.000000,0.979217,0.925961,0.000000,0.000000,0.686665,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,1.133209,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,0.000000,-0.000002,0.524125,0.000000,0.000000,0.000000,-1.150597,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.262873,0.248576,0.000000,0.000000,0.184337,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.304213,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,3,16448,0.000000,0.000000,0.000000,0.000000,0.000000,0.686666,-0.551743,0.520921,0.446913,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-2.301193,1.009565,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246320,0.000000,0.186864,0.160316,0.000000,0.000000,0.000000,0.406500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211715,0.000000,0.000000,0.000000,0.000000,0.407804,0.000000,0.000000,0.000000,0.000000
S0050,4,19037,0.000000,0.000000,0.000000,0.000000,0.000000,0.686666,-0.551743,0.520921,0.446913,0.000000,0.000000,0.000000,1.133202,-1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,0.636951,-0.000002,0.524125,0.000000,0.000000,0.000000,0.000000,1.009564,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246320,0.000000,0.186864,0.160316,0.000000,0.000000,0.000000,0.406500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.302620,0.000000,0.000000,0.000000,0.000000,0.204639,0.000000,0.168390,0.000000,0.000000,0.000000,0.000000,0.324351,0.000000,0.000000,0.000000,0.000000
S0050,5,21619,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,0.446913,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,2.019130,0.000000,0.000000,-0.806348,0.000000,0.000000,0.259952,0.000000,0.000000,0.000000,0.182288,0.000000,0.138288,0.118642,0.000000,0.000000,0.000000,0.300830,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150387,0.000000,0.000000,0.000000,0.000000,0.579348,0.000000,0.000000,0.000000,0.000000
S0050,6,24295,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,0.000000,0.000000,0.000000,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206826,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341325,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.642491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.357509,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
S0050,7,26851,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,2.019130,0.000000,0.000000,-0.806348,0.000000,0.000000,0.224889,0.000000,0.000000,0.000000,0.157701,0.000000,0.119636,0.000000,0.000000,0.000000,0.000000,0.260254,0.237520,0.000000,0.000000,0.000000,0.000000,0.000000,0.270265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150387,0.000000,0.000000,0.000000,0.000000,0.579348,0.000000,0.000000,0.000000,0.000000
S0050,8,29450,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,-1.034212,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,1.009564,0.000000,0.000000,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206827,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.380481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211715,0.000000,0.000000,0.000000,0.000000,0.407804,0.000000,0.000000,0.000000,0.000000
S0050,9,32055,0.000000,0.979216,0.000000,0.000000,0.000000,0.686665,-0.551743,0.520921,-0.000000,0.000000,0.000000,0.000000,1.133202,0.000000,0.000000,0.000000,0.000000,-1.106320,0.000000,0.941923,0.000000,-0.823175,0.000000,0.000000,-0.636953,-0.606220,0.524125,0.000000,0.000000,0.000000,-1.150597,2.019130,0.000000,0.000000,-0.806348,0.000000,0.000000,0.294944,0.000000,0.000000,0.000000,0.206827,0.000000,0.156904,0.000000,0.000000,0.000000,0.000000,0.341326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.270265,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.150387,0.000000,0.000000,0.000000,0.000000,0.579348,0.000000,0.000000,0.000000,0.000000
